pos_start;pos_end;len;field;description;reportingFlagPosision;Vers;Definition;Commentary
1;;1;MATCHS_91;Match Status;;;{"1":"Matched birth/infant death record","2":"Late Filed Matched Birth/Infant Death Record","3":"Surviving infant record", "4":"Unmatched infant death record"}; 4 - This code is used in the unlinked file
2;6;5;IDNUMBER;Infant Death Number;;;{};This number uniquely identifies the same infant in the numerator and denominator-plus files.
7;10;4;BIRYR;Year of Birth;;;{};
11;;1;RESSTATB_91;Resident Status - Birth;;;{"1":"RESIDENTS: State and county of occurrence and residence are the same.","2":"INTRASTATE NONRESIDENTS: State of occurrence and residence are the same, but county is different.","3":"INTERSTATE NONRESIDENTS: State of occurrence and residence are different, but both are in the 50 States and D.C.","4":"FOREIGN RESIDENTS: State of occurrence is one of the 50 States or the District of Columbia, but place of residence of mother is outside of the 50 States and D.C."};
12;;1;PLDEL;Place or Facility of Delivery;;;{"1":"Hospital","2":"Freestanding Birth Center","3":"Clinic / Doctor’s Office","4":"Residence","5":"Other","9":"Unknown"};
13;;1;ATTEND;Attendant;;;{"1":"Doctor of Medicine (MD)","2":"Doctor of Osteopathy (DO)","3":"Certified Nurse Midwife (CNM)","4":"Other Midwife","5":"Other","9":"Unknown or not stated"};
14;15;2;STOCCFIPB;State of Occurrence (FIPS) - Birth;;;{"01":"Alabama","02":"Alaska","04":"Arizona","05":"Arkansas","06":"California","08":"Colorado","09":"Connecticut","10":"Delaware","11":"District of Columbia","12":"Florida","13":"Georgia","15":"Hawaii","16":"Idaho","17":"Illinois","18":"Indiana","19":"Iowa","20":"Kansas","21":"Kentucky","22":"Louisiana","23":"Maine","24":"Maryland","25":"Massachusetts","26":"Michigan","27":"Minnesota","28":"Mississippi","29":"Missouri","30":"Montana","31":"Nebraska","32":"Nevada","33":"New Hampshire","34":"New Jersey","35":"New Mexico","36":"New York","37":"North Carolina","38":"North Dakota","39":"Ohio","40":"Oklahoma","41":"Oregon","42":"Pennsylvania","44":"Rhode Island","45":"South Carolina","46":"South Dakota","47":"Tennessee","48":"Texas","49":"Utah","50":"Vermont","51":"Virginia ","53":"Washington","54":"West Virginia","55":"Wisconsin","56":"Wyoming"};
16;18;3;CNTOCFIPB;County of Occurrence (FIPS) - Birth;;;{"999":"County less than 250,000 population"};001-nnn Code range
19;20;2;STRESFIPB;State of Residence (FIPS) - Birth;;;{"01":"Alabama","02":"Alaska","04":"Arizona","05":"Arkansas","06":"California","08":"Colorado","09":"Connecticut","10":"Delaware","11":"District of Columbia","12":"Florida","13":"Georgia","15":"Hawaii","16":"Idaho","17":"Illinois","18":"Indiana","19":"Iowa","20":"Kansas","21":"Kentucky","22":"Louisiana","23":"Maine","24":"Maryland","25":"Massachusetts","26":"Michigan","27":"Minnesota","28":"Mississippi","29":"Missouri","30":"Montana","31":"Nebraska","32":"Nevada","33":"New Hampshire","34":"New Jersey","35":"New Mexico","36":"New York","37":"North Carolina","38":"North Dakota","39":"Ohio","40":"Oklahoma","41":"Oregon","42":"Pennsylvania","44":"Rhode Island","45":"South Carolina","46":"South Dakota","47":"Tennessee","48":"Texas","49":"Utah","50":"Vermont","51":"Virginia ","53":"Washington","54":"West Virginia","55":"Wisconsin","56":"Wyoming"};
21;23;3;CNTYRFPB;County of Residence (FIPS) - Birth;;;{"000":"Foreign residents","999":"County less than 250,000 population"};001-nnn Code range
