pos_start;pos_end;len;field;description;reportingFlagPosision;Vers;Definition;Commentary
1;6;6;FILLER;Filler;;;;
7;;1;REVISION;Revision;;U,R;{"R":"State used the 2003 version of the US Standard Birth Certificate (Revised)","U":"State used the 1989 version of the US Standard Birth Certificate(Unrevised)"};
8;;1;FILLER;Filler;;;;
9;;1;LATEREC;Late Record Flag;;U,R;{"0":"Not late record","1":"Late record"};
10;14;5;SEQNUM;Infant Death Number;;;{};This number uniquely identifies the same infant in the numerator and denominator-plus files.
15;18;4;DOB_YY;Birth Year;;U,R;{};
19;20;2;DOB_MM;Birth Month;;U,R;{"01":"January","02":"February","03":"March","04":"April","05":"May","06":"June","07":"July","08":"August","09":"September","10":"October","11":"November","12":"December"};
21;28;8;FILLER;Filler;;;;
29;;1;DOB_WK;Weekday;;U,R;{"1":"Sunday","2":"Monday","3":"Tuesday","4":"Wednesday","5":"Thursday","6":"Friday","7":"Saturday"};
30;31;2;OSTATE;Occurrence Territory;;U,R;{"GU":"Guam","PR":"Puerto Rico","VI":"Virgin Islands"};This item is available in the territory file only, geographic codes are not available in the U.S. file.
32;36;5;FILLER;Filler;;;;
37;39;3;OCNTYFIPS;Occurrence FIPS County;;U,R;{"127":{"Puerto Rico":"San Juan", "Other Outlying Areas of the U.S.":""}, "999":{"Puerto Rico":"County less than 250,000", "Other Outlying Areas of the U.S.":"County less than 250,000"},"000":{"Puerto Rico":"", "Other Outlying Areas of the U.S.":"No county level geography"}};This item is available in the territory file only, geographic codes are not available in the U.S. file.
40;;1;OCNTYPOP;Occurrence County Pop;;U,R;{"0":"County of 1,000,000 or more","1":"County of 500,000 to 1,000,000","2":"County of 250,000 to 500,000","9":"County less than 250,000"};This item is available in the territory file only, geographic codes are not available in the U.S. file.
41;;1;BFACIL;Birth Place (Revised);676;R;{"1":"Hospital","2":"Freestanding Birth Center","3":"Home (intended)","4":"Home (not intended)","5":"Home (unknown if intended)","6":"Clinic / Doctor’s Office","7":"Other","9":"Unknown", " ":"Not on certificate"};
42;;1;UBFACIL;Birth Place;;U,R;{"1":"Hospital","2":"Freestanding Birth Center","3":"Clinic / Doctor’s Office","4":"Residence","5":"Other","9":"Unknown"};
43;58;16;FILLER;Filler;;;;
59;;1;BFACIL3;Birth Place Recode;;U,R;{"1":"In Hospital","2": "Not in Hospital","3":"Unknown or Not Stated"};
60;86;27;FILLER;Filler;;;;
87;;1;MAGE_IMPFLG;Mother’s Age Imputed;;U,R;{" ":"Age not imputed","1":"Age imputed"};
88;;1;MAGE_REPFLG;Reported Age of Mother Flag;;U,R;{" ":"Age not imputed","1":"Age imputed"};
89;90;2;MAGER;Mother’s Age Recode 41;;U,R;{"12":"10 – 12 years","13":"13 years","14":"14 years","15":"15 years","16":"16 years","17":"17 years","18":"18 years","19":"19 years","20":"20 years","21":"21 years","22":"22 years","23":"23 years","24":"24 years","25":"25 years","26":"26 years","27":"27 years","28":"28 years","29":"29 years","30":"30 years","31":"31 years","32":"32 years","33":"33 years","34":"34 years","35":"35 years","36":"36 years", "37":"37 years","38":"38 years","39":"39 years","40":"40 years","41":"41 years","42":"42 years","43":"43 years","44":"44 years","45":"45 years","46":"46 years","47":"47 years","48":"48 years","49":"49 years","50":"50 - 64 years"};
91;92;2;MAGER14;Mother’s Age Recode 14;;U,R;{"01":"under 15 years","03":"15 years","04":"16 years","05":"17 years","06":"18 years","07":"19 years","08":"20-24 years","09":"25-29 years","10":"30-34 years","11":"35-39 years","12":"40-44 years","13":"45-49 years","14":"50-64 years"};
