pos_start;pos_end;len;field;description;reportingFlagPosision;Vers;Definition;Commentary
1;;1;MATCHS_91;Match Status;;;{"1":"Matched birth/infant death record","2":"Late Filed Matched Birth/Infant Death Record","3":"Surviving infant record", "4":"Unmatched infant death record"}; 4 - This code is used in the unlinked file
2;5;4;BIRYR;Year of Birth;;;{};
6;9;4;FILLER;Filler;;;;
10;;1;RECTYPE;Record Type;;;{"1":"RESIDENT: State and county of occurrence and residence","2":"NONRESIDENT: State and county of occurrence and residence are different."};
11;;1;RESSTATB_91;Resident Status - Birth;;;{"1":"RESIDENTS: State and county of occurrence and residence are the same.","2":"INTRASTATE NONRESIDENTS: State of occurrence and residence are the same, but county is different.","3":"INTERSTATE NONRESIDENTS: State of occurrence and residence are different, but both are in the 50 States and D.C.","4":"FOREIGN RESIDENTS: State of occurrence is one of the 50 States or the District of Columbia, but place of residence of mother is outside of the 50 States and D.C."};
12;;1;REGIONOCCUR;Region of Occurrence;;;{"1":"Northeast","2":"Midwest","3":"South","4":"West"};
13;14;2;DIVISIONOCCUR;Division and State Subcode of Occurrence;;;{"11":"New England/Maine","12":"New England/New Hampshire","13":"New England/Vermont","14":"New England/Massachusetts","15":"New England/Rhode Island","16":"New England/Connecticut","21":"Middle Atlantic/New York", "22":"Middle Atlantic/ New Jersey", "23":"Middle Atlantic/Pennsylvania","31":"East North Central/Ohio","32":"East North Central/Indiana", "33":"East North Central/Michigan","34":"East North Central/Michigan", "35":"East North Central/Wisconsin","41":"West North Central/Minnesota", "42":"West North Central/Iowa", "43":"West North Central/Missouri","44":"West North Central/North Dakota","45":"West North Central/South Dakota","46":"West North Central/Nebraska","47":"West North Central/Kansas","51":"South Atlantic/Delaware","52":"South Atlantic/Maryland","53":"South Atlantic/District of Columbia","54":"South Atlantic/Virginia","55":"South Atlantic/West Virginia","56":"South Atlantic/North Carolina", "57":"South Atlantic/South Carolina","58":"South Atlantic/Georgia","59":"South Atlantic/Florida","61":"East South Central/Kentucky", "62":"East South Central/Tennessee","63":"East South Central/Alabama", "64":"East South Central/Mississippi","71":"West South Central/Arkansas","72":"West South Central/Louisiana","73":"West South Central/Oklahoma","74":"West South Central/Texas","81":"Mountain/ Montana","82":"Mountain/Idaho","83":"Mointain/Wyoming","84":"Mountain/Colorado","85":"Mountain/New Mexico","86":"Mountain/Arizona","87":"Mountain/Utah","88":"Mountain/Nevada","91":"Pacific/Washington","92":"Pacific/Oregon","93":"Pacyfic/California","94":"Pacyfic/Alaska","95":"Pacyfic/Hawaii"};
15;16;2;ESTATOCB_88;Expanded State of Occurrence;;;{"01":"Alabama","02":"Alaska","03":"Arizona","04":"Arkansas","05":"California","06":"Colorado","07":"Connecticut","08":"Delaware","09":"District of Columbia","10":"Florida","11":"Georgia","12":"Hawaii","13":"Idaho","14":"Illinois","15":"Indiana","16":"Iowa","17":"Kansas","18":"Kentucky","19":"Louisiana","20":"Maine","21":"Maryland","22":"Massachusetts","23":"Michigan","24":"Minnesota","25":"Mississippi","26":"Missouri","27":"Montana","28":"Nebraska","29":"Nevada","30":"New Hampshire","31":"New Jersey","32":"New Mexico","33":"New York","34":"New York City","35":"North Carolina","36":"North Dakota","37":"Ohio","38":"Oklahoma","39":"Oregon","40":"Pennsylvania","41":"Rhode Island","42":"South Carolina","43":"South Dakota","44":"Tennessee","45":"Texas","46":"Utah","47":"Vermont","48":"Virginia ","49":"Washington","50":"West Virginia","51":"Wisconsin","52":"Wyoming","53":"Puerto Rico","54":"Virgin Island","55":"Guam","56":"Canada","57":"Cuba","58":"Mexico","60":"Remainder of the world"};
17;18;2;STOCCFIPB_88;State of Occurrence;;;{"01":"Alabama","02":"Alaska","03":"Arizona","04":"Arkansas","05":"California","06":"Colorado","07":"Connecticut","08":"Delaware","09":"District of Columbia","10":"Florida","11":"Georgia","12":"Hawaii","13":"Idaho","14":"Illinois","15":"Indiana","16":"Iowa","17":"Kansas","18":"Kentucky","19":"Louisiana","20":"Maine","21":"Maryland","22":"Massachusetts","23":"Michigan","24":"Minnesota","25":"Mississippi","26":"Missouri","27":"Montana","28":"Nebraska","29":"Nevada","30":"New Hampshire","31":"New Jersey","32":"New Mexico","33":"New York","34":"North Carolina","35":"North Dakota","36":"Ohio","37":"Oklahoma","38":"Oregon","39":"Pennsylvania","40":"Rhode Island","41":"South Carolina","42":"South Dakota","43":"Tennessee","44":"Texas","45":"Utah","46":"Vermont","47":"Virginia ","48":"Washington","49":"West Virginia","50":"Wisconsin","51":"Wyoming"};
19;21;3;CNTOCFIPB;County of Occurrence (FIPS) - Birth;;;{"999":"County less than 250,000 population"};001-nnn Code range
