pos_start;pos_end;len;field;description;reportingFlagPosision;Vers;Definition;Commentary
1;6;6;FILLER;Filler;;;;
7;;1;REVISION_10;Revision;;U,R;{"A":"State used the 2003 version of the US Standard Birth Certificate (Revised)","S":"State used the 1989 version of the US Standard Birth Certificate(Unrevised)"};
8;;1;FILLER;Filler;;;;
9;;1;LATEREC;Late Record Flag;;U,R;{"0":"Not late record","1":"Late record"};
10;14;5;IDNUMBER;Infant Death Number;;;{};This number uniquely identifies the same infant in the numerator and denominator-plus files.
15;18;4;DOB_YY;Birth Year;;U,R;{};
19;20;2;DOB_MM;Birth Month;;U,R;{"01":"January","02":"February","03":"March","04":"April","05":"May","06":"June","07":"July","08":"August","09":"September","10":"October","11":"November","12":"December"};
21;28;8;FILLER;Filler;;;;
29;;1;DOB_WK;Weekday;;U,R;{"1":"Sunday","2":"Monday","3":"Tuesday","4":"Wednesday","5":"Thursday","6":"Friday","7":"Saturday"};
30;31;2;OSTATE_ALL;Occurrence Territory;;U,R;{"AK":"Alaska","AL":"Alabama","AR":"Arkansas","AZ":"Arizona","CA":"California","CO":"Colorado","CT":"Connecticut","DE":"Delaware","DC":"District of Columbia","FL":"Florida","GA":"Georgia","HI":"Hawaii","ID":"Idaho","IL":"Illinois","IN":"Indiana","IA":"Iowa","KS":"Kansas","KY":"Kentucky","LA":"Louisiana","MA":"Massachusetts","MD":"Maryland","ME":"Maine","MI":"Michigan","MN":"Minnesota","MO":"Missouri","MS":"Mississippi","MT":"Montana","NC":"North Carolina","ND":"North Dakota","NE":"Nebraska","NH":"New Hampshire","NJ":"New Jersey","NM":"New Mexico","NV":"Nevada","NY":"New York","OH":"Ohio","OK":"Oklahoma","OR":"Oregon","PA":"Pennsylvania","RI":"Rhode Island","SC":"South Carolina","SD":"South Dakota","TN":"Tennessee","TX":"Texas","UT":"Utah","VA":"Virginia","VT":"Vermont","WA":"Washington","WI":"Wisconsin","WV":"West Virginia","WY":"Wyoming","GU":"Guam","PR":"Puerto Rico","VI":"Virgin Islands"};
32;33;2;XOSTATE;Expanded Occurrence FIPS State;;U,R;{"AK":"Alaska","AL":"Alabama","AR":"Arkansas","AZ":"Arizona","CA":"California","CO":"Colorado","CT":"Connecticut","DE":"Delaware","DC":"District of Columbia","FL":"Florida","GA":"Georgia","HI":"Hawaii","ID":"Idaho","IL":"Illinois","IN":"Indiana","IA":"Iowa","KS":"Kansas","KY":"Kentucky","LA":"Louisiana","MA":"Massachusetts","MD":"Maryland","ME":"Maine","MI":"Michigan","MN":"Minnesota","MO":"Missouri","MS":"Mississippi","MT":"Montana","NC":"North Carolina","ND":"North Dakota","NE":"Nebraska","NH":"New Hampshire","NJ":"New Jersey","NM":"New Mexico","NV":"Nevada","NY":"New York","OH":"Ohio","OK":"Oklahoma","OR":"Oregon","PA":"Pennsylvania","RI":"Rhode Island","SC":"South Carolina","SD":"South Dakota","TN":"Tennessee","TX":"Texas","UT":"Utah","VA":"Virginia","VT":"Vermont","WA":"Washington","WI":"Wisconsin","WV":"West Virginia","WY":"Wyoming","YC":"New York City","AS":"American Samoa","GU":"Guam","MP":"Northern Marianas","PR":"Puerto Rico","VI":"Virgin Islands"};
34;36;3;FILLER;Filler;;;;
37;39;3;OCNTYFIPS;Occurrence FIPS County;;U,R;{"999":"County less than 250,000"};000-nnn County of Occurrence
40;;1;OCNTYPOP;Occurrence County Pop;;U,R;{"0":"County of 1,000,000 or more","1":"County of 500,000 to 1,000,000","2":"County of 250,000 to 500,000","9":"County less than 250,000"};This item is available in the territory file only, geographic codes are not available in the U.S. file.
41;;1;FILLER;Filler;;;;
42;;1;UBFACIL;Birth Place;;U,R;{"1":"Hospital","2":"Freestanding Birth Center","3":"Clinic / Doctor’s Office","4":"Residence","5":"Other","9":"Unknown"};
43;58;16;FILLER;Filler;;;;
59;;1;BFACIL3;Birth Place Recode;;U,R;{"1":"In Hospital","2": "Not in Hospital","3":"Unknown or Not Stated"};
60;86;27;FILLER;Filler;;;;
87;;1;MAGE_IMPFLG;Mother’s Age Imputed;;U,R;{" ":"Age not imputed","1":"Age imputed"};
88;;1;MAGE_REPFLG;Reported Age of Mother Flag;;U,R;{" ":"Age not imputed","1":"Age imputed"};
89;90;2;MAGER41;Mother’s Age Recode 41;;U,R;{"01":"Under 15","02":"15 years","03":"16 years","04":"17 years","05":"18 years","06":"19 years","07":"20 years","08":"21 years","09":"22 years","10":"23 years","11":"24 years","12":"25 years","13":"26 years","14":"27 years","15":"28 years","16":"29 years","17":"30 years","18":"31 years","19":"32 years","20":"33 years","21":"34 years","22":"35 years","23":"36 years", "24":"37 years","25":"38 years","26":"39 years","27":"40 years","28":"41 years","29":"42 years","30":"43 years","31":"44 years","32":"45 years","33":"46 years","34":"47 years","35":"48 years","36":"49 years","37":"50 years","38":"51 years","39":"52 years","40":"53 years","41":"54 years"};
91;92;2;MAGER14;Mother’s Age Recode 14;;U,R;{"01":"under 15 years","03":"15 years","04":"16 years","05":"17 years","06":"18 years","07":"19 years","08":"20-24 years","09":"25-29 years","10":"30-34 years","11":"35-39 years","12":"40-44 years","13":"45-49 years","14":"50-64 years"};
93;;1;MAGER9;Mother’s Age Recode 9;;U,R;{"1":"under 15 years","2":"15-19 years","3":"20-24 years","4":"25-29 years","5":"30-34 years","6":"35-39 years","7":"40-44 years","8":"45-49 years","9":"50-64 years"};
94;95;2;FILLER;Filler;;;;
96;97;2;UMBSTATE;Mother’s Birth State;;U,R;{"AK":"Alaska","AL":"Alabama","AR":"Arkansas","AZ":"Arizona","CA":"California","CO":"Colorado","CT":"Connecticut","DE":"Delaware","DC":"District of Columbia","FL":"Florida","GA":"Georgia","HI":"Hawaii","ID":"Idaho","IL":"Illinois","IN":"Indiana","IA":"Iowa","KS":"Kansas","KY":"Kentucky","LA":"Louisiana","MA":"Massachusetts","MD":"Maryland","ME":"Maine","MI":"Michigan","MN":"Minnesota","MO":"Missouri","MS":"Mississippi","MT":"Montana","NC":"North Carolina","ND":"North Dakota","NE":"Nebraska","NH":"New Hampshire","NJ":"New Jersey","NM":"New Mexico","NV":"Nevada","NY":"New York","OH":"Ohio","OK":"Oklahoma","OR":"Oregon","PA":"Pennsylvania","RI":"Rhode Island","SC":"South Carolina","SD":"South Dakota","TN":"Tennessee","TX":"Texas","UT":"Utah","VA":"Virginia","VT":"Vermont","WA":"Washington","WI":"Wisconsin","WV":"West Virginia","WY":"Wyoming","YC":"New York City","AS":"American Samoa","GU":"Guam","MP":"Northern Marianas","PR":"Puerto Rico","VI":"Virgin Islands","AS":"American Samoa","GU":"Guam","MP":"Northern Marianas","PR":"Puerto Rico","VI":"Virgin Islands","CC":"Canada","CU":"Cuba","MX":"Mexico","YY":"Rest of the World","ZZ":"Not Classifiable"};
98;99;2;FILLER;Filler;;;;
100;;1;MBSTATER3;Mother’s Birth State Recode;;U,R;{"1":"Native born (with the 50 States and DC)","2":"Foreign born (outside the 50 States and DC)","3":"Unknown or Not Stated"};
101;106;6;FILLER;Filler;;;;
